0.00.154.698 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.457.493 I srv    load_model: loading model '/mnt/models/Laguna-S-2.1-UD-IQ4_NL-00001-of-00003.gguf'
0.05.705.123 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.05.705.127 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
1.10.523.187 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
1.10.587.196 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
1.10.587.338 I srv  llama_server: model loaded
1.10.587.351 I srv  llama_server: listening on http://0.0.0.0:8103
1.11.536.798 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
9.40.082.220 I slot print_timing: id  0 | task 0 |       total time =  508537.23 ms / 81181 tokens
9.40.082.226 I slot print_timing: id  0 | task 0 |    graphs reused =        527
9.40.092.986 I slot      release: id  0 | task 0 | stop processing: n_tokens = 81180, truncated = 0
9.42.536.231 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.992 (> 0.100 thold), f_keep = 0.997
9.42.537.977 I slot launch_slot_: id  0 | task 603 | processing task, is_child = 0
9.48.039.661 I slot print_timing: id  0 | task 603 | prompt processing, n_tokens =    613, progress = 1.00, t =   5.50 s / 111.42 tokens per second
9.56.598.523 I slot print_timing: id  0 | task 603 | n_decoded =    100, tg =  12.01 t/s, tg_3s =  12.01 t/s
9.59.605.742 I slot print_timing: id  0 | task 603 | n_decoded =    136, tg =  12.00 t/s, tg_3s =  11.97 t/s
10.02.661.854 I slot print_timing: id  0 | task 603 | n_decoded =    173, tg =  12.02 t/s, tg_3s =  12.11 t/s
10.05.729.379 I slot print_timing: id  0 | task 603 | n_decoded =    210, tg =  12.03 t/s, tg_3s =  12.06 t/s
10.08.787.359 I slot print_timing: id  0 | task 603 | n_decoded =    247, tg =  12.04 t/s, tg_3s =  12.10 t/s
10.11.853.198 I slot print_timing: id  0 | task 603 | n_decoded =    282, tg =  11.96 t/s, tg_3s =  11.42 t/s
10.14.935.811 I slot print_timing: id  0 | task 603 | n_decoded =    316, tg =  11.85 t/s, tg_3s =  11.03 t/s
10.17.947.999 I slot print_timing: id  0 | task 603 | n_decoded =    351, tg =  11.83 t/s, tg_3s =  11.62 t/s
10.20.999.659 I slot print_timing: id  0 | task 603 | n_decoded =    387, tg =  11.83 t/s, tg_3s =  11.80 t/s
10.24.071.812 I slot print_timing: id  0 | task 603 | n_decoded =    424, tg =  11.84 t/s, tg_3s =  12.04 t/s
10.27.075.172 I slot print_timing: id  0 | task 603 | n_decoded =    459, tg =  11.83 t/s, tg_3s =  11.65 t/s
10.30.117.752 I slot print_timing: id  0 | task 603 | n_decoded =    494, tg =  11.81 t/s, tg_3s =  11.50 t/s
10.33.156.972 I slot print_timing: id  0 | task 603 | n_decoded =    529, tg =  11.79 t/s, tg_3s =  11.52 t/s
10.36.244.215 I slot print_timing: id  0 | task 603 | n_decoded =    564, tg =  11.76 t/s, tg_3s =  11.34 t/s
10.39.284.603 I slot print_timing: id  0 | task 603 | n_decoded =    600, tg =  11.76 t/s, tg_3s =  11.84 t/s
10.42.342.427 I slot print_timing: id  0 | task 603 | n_decoded =    635, tg =  11.74 t/s, tg_3s =  11.45 t/s
10.45.389.751 I slot print_timing: id  0 | task 603 | n_decoded =    669, tg =  11.71 t/s, tg_3s =  11.16 t/s
10.48.425.624 I slot print_timing: id  0 | task 603 | n_decoded =    703, tg =  11.69 t/s, tg_3s =  11.20 t/s
10.51.439.185 I slot print_timing: id  0 | task 603 | n_decoded =    737, tg =  11.67 t/s, tg_3s =  11.28 t/s
10.54.454.217 I slot print_timing: id  0 | task 603 | n_decoded =    770, tg =  11.63 t/s, tg_3s =  10.95 t/s
10.57.542.377 I slot print_timing: id  0 | task 603 | n_decoded =    804, tg =  11.61 t/s, tg_3s =  11.01 t/s
11.00.623.047 I slot print_timing: id  0 | task 603 | n_decoded =    839, tg =  11.60 t/s, tg_3s =  11.36 t/s
11.03.636.573 I slot print_timing: id  0 | task 603 | n_decoded =    875, tg =  11.61 t/s, tg_3s =  11.95 t/s
11.06.710.570 I slot print_timing: id  0 | task 603 | n_decoded =    911, tg =  11.61 t/s, tg_3s =  11.71 t/s
11.07.389.427 I slot print_timing: id  0 | task 603 | prompt eval time =    5736.30 ms /   617 tokens (    9.30 ms per token,   107.56 tokens per second)
11.07.389.431 I slot print_timing: id  0 | task 603 |        eval time =   79115.12 ms /   919 tokens (   86.09 ms per token,    11.62 tokens per second)
11.07.389.433 I slot print_timing: id  0 | task 603 |       total time =   84851.42 ms /  1536 tokens
11.07.389.434 I slot print_timing: id  0 | task 603 |    graphs reused =       1440
11.07.392.314 I slot      release: id  0 | task 603 | stop processing: n_tokens = 82476, truncated = 0
11.09.498.714 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
11.09.500.490 I slot launch_slot_: id  0 | task 1525 | processing task, is_child = 0
11.18.763.204 I slot print_timing: id  0 | task 1525 | n_decoded =    100, tg =  11.77 t/s, tg_3s =  11.77 t/s
11.21.805.002 I slot print_timing: id  0 | task 1525 | n_decoded =    136, tg =  11.79 t/s, tg_3s =  11.84 t/s
11.24.895.191 I slot print_timing: id  0 | task 1525 | n_decoded =    172, tg =  11.76 t/s, tg_3s =  11.65 t/s
11.27.910.024 I slot print_timing: id  0 | task 1525 | n_decoded =    201, tg =  11.39 t/s, tg_3s =   9.62 t/s
11.30.974.465 I slot print_timing: id  0 | task 1525 | n_decoded =    238, tg =  11.49 t/s, tg_3s =  12.07 t/s
11.34.038.373 I slot print_timing: id  0 | task 1525 | n_decoded =    275, tg =  11.57 t/s, tg_3s =  12.08 t/s
11.37.113.947 I slot print_timing: id  0 | task 1525 | n_decoded =    307, tg =  11.44 t/s, tg_3s =  10.40 t/s
11.40.187.045 I slot print_timing: id  0 | task 1525 | n_decoded =    337, tg =  11.26 t/s, tg_3s =   9.76 t/s
11.43.226.422 I slot print_timing: id  0 | task 1525 | n_decoded =    367, tg =  11.14 t/s, tg_3s =   9.87 t/s
11.46.270.740 I slot print_timing: id  0 | task 1525 | n_decoded =    397, tg =  11.03 t/s, tg_3s =   9.85 t/s
11.49.275.142 I slot print_timing: id  0 | task 1525 | n_decoded =    426, tg =  10.92 t/s, tg_3s =   9.65 t/s
11.52.365.389 I slot print_timing: id  0 | task 1525 | n_decoded =    456, tg =  10.83 t/s, tg_3s =   9.71 t/s
11.55.444.515 I slot print_timing: id  0 | task 1525 | n_decoded =    486, tg =  10.76 t/s, tg_3s =   9.74 t/s
11.58.487.185 I slot print_timing: id  0 | task 1525 | n_decoded =    516, tg =  10.70 t/s, tg_3s =   9.86 t/s
12.01.548.786 I slot print_timing: id  0 | task 1525 | n_decoded =    546, tg =  10.65 t/s, tg_3s =   9.80 t/s
12.04.610.824 I slot print_timing: id  0 | task 1525 | n_decoded =    577, tg =  10.62 t/s, tg_3s =  10.12 t/s
12.07.501.275 I slot print_timing: id  0 | task 1525 | prompt eval time =     766.78 ms /    16 tokens (   47.92 ms per token,    20.87 tokens per second)
12.07.501.282 I slot print_timing: id  0 | task 1525 |        eval time =   57233.97 ms /   606 tokens (   94.45 ms per token,    10.59 tokens per second)
12.07.501.283 I slot print_timing: id  0 | task 1525 |       total time =   58000.74 ms /   622 tokens
12.07.501.285 I slot print_timing: id  0 | task 1525 |    graphs reused =       2042
12.07.509.200 I slot      release: id  0 | task 1525 | stop processing: n_tokens = 83097, truncated = 0
12.09.400.167 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
12.09.405.000 I slot launch_slot_: id  0 | task 2133 | processing task, is_child = 0
12.18.382.508 I slot print_timing: id  0 | task 2133 | n_decoded =    100, tg =  12.02 t/s, tg_3s =  12.02 t/s
12.21.471.018 I slot print_timing: id  0 | task 2133 | n_decoded =    132, tg =  11.57 t/s, tg_3s =  10.36 t/s
12.24.513.256 I slot print_timing: id  0 | task 2133 | n_decoded =    161, tg =  11.14 t/s, tg_3s =   9.53 t/s
12.27.554.957 I slot print_timing: id  0 | task 2133 | n_decoded =    190, tg =  10.86 t/s, tg_3s =   9.53 t/s
12.30.592.603 I slot print_timing: id  0 | task 2133 | n_decoded =    219, tg =  10.67 t/s, tg_3s =   9.55 t/s
12.33.628.826 I slot print_timing: id  0 | task 2133 | n_decoded =    248, tg =  10.52 t/s, tg_3s =   9.55 t/s
12.36.652.574 I slot print_timing: id  0 | task 2133 | n_decoded =    277, tg =  10.42 t/s, tg_3s =   9.59 t/s
12.39.755.213 I slot print_timing: id  0 | task 2133 | n_decoded =    307, tg =  10.34 t/s, tg_3s =   9.67 t/s
12.42.856.548 I slot print_timing: id  0 | task 2133 | n_decoded =    337, tg =  10.28 t/s, tg_3s =   9.67 t/s
12.45.876.835 I slot print_timing: id  0 | task 2133 | n_decoded =    366, tg =  10.22 t/s, tg_3s =   9.60 t/s
12.48.885.787 I slot print_timing: id  0 | task 2133 | n_decoded =    395, tg =  10.18 t/s, tg_3s =   9.64 t/s
12.51.959.631 I slot print_timing: id  0 | task 2133 | n_decoded =    425, tg =  10.14 t/s, tg_3s =   9.76 t/s
12.54.934.474 I slot print_timing: id  0 | task 2133 | prompt eval time =     660.45 ms /    16 tokens (   41.28 ms per token,    24.23 tokens per second)
12.54.934.480 I slot print_timing: id  0 | task 2133 |        eval time =   44868.95 ms /   454 tokens (   98.83 ms per token,    10.12 tokens per second)
12.54.934.482 I slot print_timing: id  0 | task 2133 |       total time =   45529.40 ms /   470 tokens
12.54.934.484 I slot print_timing: id  0 | task 2133 |    graphs reused =       2492
12.54.942.589 I slot      release: id  0 | task 2133 | stop processing: n_tokens = 83566, truncated = 0
12.56.546.757 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
12.56.548.217 I slot launch_slot_: id  0 | task 2589 | processing task, is_child = 0
13.05.593.352 I slot print_timing: id  0 | task 2589 | n_decoded =    100, tg =  11.92 t/s, tg_3s =  11.92 t/s
13.08.647.262 I slot print_timing: id  0 | task 2589 | n_decoded =    136, tg =  11.89 t/s, tg_3s =  11.79 t/s
13.11.648.690 I slot print_timing: id  0 | task 2589 | n_decoded =    171, tg =  11.84 t/s, tg_3s =  11.66 t/s
13.14.699.904 I slot print_timing: id  0 | task 2589 | n_decoded =    207, tg =  11.83 t/s, tg_3s =  11.80 t/s
13.17.756.604 I slot print_timing: id  0 | task 2589 | n_decoded =    243, tg =  11.82 t/s, tg_3s =  11.78 t/s
13.20.817.498 I slot print_timing: id  0 | task 2589 | n_decoded =    279, tg =  11.82 t/s, tg_3s =  11.76 t/s
13.23.871.828 I slot print_timing: id  0 | task 2589 | n_decoded =    315, tg =  11.81 t/s, tg_3s =  11.79 t/s
13.26.927.584 I slot print_timing: id  0 | task 2589 | n_decoded =    351, tg =  11.81 t/s, tg_3s =  11.78 t/s
13.29.984.246 I slot print_timing: id  0 | task 2589 | n_decoded =    387, tg =  11.81 t/s, tg_3s =  11.78 t/s
13.33.004.186 I slot print_timing: id  0 | task 2589 | n_decoded =    423, tg =  11.82 t/s, tg_3s =  11.92 t/s
13.36.015.532 I slot print_timing: id  0 | task 2589 | n_decoded =    459, tg =  11.83 t/s, tg_3s =  11.95 t/s
13.39.016.067 I slot print_timing: id  0 | task 2589 | n_decoded =    495, tg =  11.84 t/s, tg_3s =  12.00 t/s
13.42.076.806 I slot print_timing: id  0 | task 2589 | n_decoded =    531, tg =  11.83 t/s, tg_3s =  11.76 t/s
13.45.148.411 I slot print_timing: id  0 | task 2589 | n_decoded =    567, tg =  11.83 t/s, tg_3s =  11.72 t/s
13.48.160.326 I slot print_timing: id  0 | task 2589 | n_decoded =    603, tg =  11.83 t/s, tg_3s =  11.95 t/s
13.51.169.477 I slot print_timing: id  0 | task 2589 | n_decoded =    639, tg =  11.84 t/s, tg_3s =  11.96 t/s
13.54.206.589 I slot print_timing: id  0 | task 2589 | n_decoded =    675, tg =  11.84 t/s, tg_3s =  11.85 t/s
13.57.292.790 I slot print_timing: id  0 | task 2589 | n_decoded =    711, tg =  11.83 t/s, tg_3s =  11.66 t/s
14.00.304.584 I slot print_timing: id  0 | task 2589 | n_decoded =    745, tg =  11.81 t/s, tg_3s =  11.29 t/s
14.03.392.064 I slot print_timing: id  0 | task 2589 | n_decoded =    780, tg =  11.78 t/s, tg_3s =  11.34 t/s
14.06.478.706 I slot print_timing: id  0 | task 2589 | n_decoded =    815, tg =  11.76 t/s, tg_3s =  11.34 t/s
14.09.505.114 I slot print_timing: id  0 | task 2589 | n_decoded =    851, tg =  11.77 t/s, tg_3s =  11.90 t/s
14.12.567.382 I slot print_timing: id  0 | task 2589 | n_decoded =    887, tg =  11.77 t/s, tg_3s =  11.76 t/s
14.15.584.634 I slot print_timing: id  0 | task 2589 | n_decoded =    922, tg =  11.76 t/s, tg_3s =  11.60 t/s
14.18.633.754 I slot print_timing: id  0 | task 2589 | n_decoded =    958, tg =  11.76 t/s, tg_3s =  11.81 t/s
14.21.696.183 I slot print_timing: id  0 | task 2589 | n_decoded =    994, tg =  11.76 t/s, tg_3s =  11.76 t/s
14.24.762.827 I slot print_timing: id  0 | task 2589 | n_decoded =   1030, tg =  11.76 t/s, tg_3s =  11.74 t/s
14.27.829.785 I slot print_timing: id  0 | task 2589 | n_decoded =   1066, tg =  11.76 t/s, tg_3s =  11.74 t/s
14.30.888.622 I slot print_timing: id  0 | task 2589 | n_decoded =   1102, tg =  11.76 t/s, tg_3s =  11.77 t/s
14.33.946.420 I slot print_timing: id  0 | task 2589 | n_decoded =   1138, tg =  11.76 t/s, tg_3s =  11.77 t/s
14.37.023.420 I slot print_timing: id  0 | task 2589 | n_decoded =   1174, tg =  11.76 t/s, tg_3s =  11.70 t/s
14.40.027.390 I slot print_timing: id  0 | task 2589 | n_decoded =   1209, tg =  11.76 t/s, tg_3s =  11.65 t/s
14.43.030.605 I slot print_timing: id  0 | task 2589 | n_decoded =   1244, tg =  11.76 t/s, tg_3s =  11.65 t/s
14.46.034.594 I slot print_timing: id  0 | task 2589 | n_decoded =   1279, tg =  11.75 t/s, tg_3s =  11.65 t/s
14.49.118.715 I slot print_timing: id  0 | task 2589 | n_decoded =   1315, tg =  11.75 t/s, tg_3s =  11.67 t/s
14.52.158.779 I slot print_timing: id  0 | task 2589 | n_decoded =   1350, tg =  11.74 t/s, tg_3s =  11.51 t/s
14.55.170.253 I slot print_timing: id  0 | task 2589 | n_decoded =   1385, tg =  11.74 t/s, tg_3s =  11.62 t/s
14.58.246.574 I slot print_timing: id  0 | task 2589 | n_decoded =   1421, tg =  11.74 t/s, tg_3s =  11.70 t/s
14.58.667.406 I slot print_timing: id  0 | task 2589 | prompt eval time =     656.79 ms /    16 tokens (   41.05 ms per token,    24.36 tokens per second)
14.58.667.410 I slot print_timing: id  0 | task 2589 |        eval time =  121462.37 ms /  1426 tokens (   85.18 ms per token,    11.74 tokens per second)
14.58.667.412 I slot print_timing: id  0 | task 2589 |       total time =  122119.16 ms /  1442 tokens
14.58.667.413 I slot print_timing: id  0 | task 2589 |    graphs reused =       3910
14.58.670.210 I slot      release: id  0 | task 2589 | stop processing: n_tokens = 85007, truncated = 0
14.59.982.928 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
14.59.984.400 I slot launch_slot_: id  0 | task 4017 | processing task, is_child = 0
15.09.043.165 I slot print_timing: id  0 | task 4017 | n_decoded =    100, tg =  11.98 t/s, tg_3s =  11.98 t/s
15.12.088.129 I slot print_timing: id  0 | task 4017 | n_decoded =    136, tg =  11.94 t/s, tg_3s =  11.82 t/s
15.15.117.738 I slot print_timing: id  0 | task 4017 | n_decoded =    172, tg =  11.92 t/s, tg_3s =  11.88 t/s
15.18.136.814 I slot print_timing: id  0 | task 4017 | n_decoded =    208, tg =  11.92 t/s, tg_3s =  11.92 t/s
15.21.218.638 I slot print_timing: id  0 | task 4017 | n_decoded =    237, tg =  11.55 t/s, tg_3s =   9.41 t/s
15.24.296.786 I slot print_timing: id  0 | task 4017 | n_decoded =    266, tg =  11.27 t/s, tg_3s =   9.42 t/s
15.27.308.459 I slot print_timing: id  0 | task 4017 | n_decoded =    297, tg =  11.16 t/s, tg_3s =  10.29 t/s
15.30.370.265 I slot print_timing: id  0 | task 4017 | n_decoded =    333, tg =  11.22 t/s, tg_3s =  11.76 t/s
15.33.425.285 I slot print_timing: id  0 | task 4017 | n_decoded =    369, tg =  11.27 t/s, tg_3s =  11.78 t/s
15.35.122.562 I slot print_timing: id  0 | task 4017 | prompt eval time =     709.49 ms /    16 tokens (   44.34 ms per token,    22.55 tokens per second)
15.35.122.566 I slot print_timing: id  0 | task 4017 |        eval time =   34428.63 ms /   389 tokens (   88.51 ms per token,    11.30 tokens per second)
15.35.122.568 I slot print_timing: id  0 | task 4017 |       total time =   35138.11 ms /   405 tokens
15.35.122.569 I slot print_timing: id  0 | task 4017 |    graphs reused =       4296
15.35.125.472 I slot      release: id  0 | task 4017 | stop processing: n_tokens = 85411, truncated = 0
15.36.760.482 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
15.36.762.044 I slot launch_slot_: id  0 | task 4408 | processing task, is_child = 0
15.45.924.910 I slot print_timing: id  0 | task 4408 | n_decoded =    100, tg =  11.83 t/s, tg_3s =  11.83 t/s
15.47.128.651 I slot print_timing: id  0 | task 4408 | prompt eval time =     713.20 ms /    16 tokens (   44.58 ms per token,    22.43 tokens per second)
15.47.128.655 I slot print_timing: id  0 | task 4408 |        eval time =    9653.37 ms /   114 tokens (   84.68 ms per token,    11.81 tokens per second)
15.47.128.657 I slot print_timing: id  0 | task 4408 |       total time =   10366.57 ms /   130 tokens
15.47.128.658 I slot print_timing: id  0 | task 4408 |    graphs reused =       4407
15.47.131.492 I slot      release: id  0 | task 4408 | stop processing: n_tokens = 85540, truncated = 0
15.48.630.375 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.993 (> 0.100 thold), f_keep = 1.000
15.48.631.815 I slot launch_slot_: id  0 | task 4524 | processing task, is_child = 0
15.53.780.606 I slot print_timing: id  0 | task 4524 | prompt processing, n_tokens =    585, progress = 1.00, t =   5.15 s / 113.62 tokens per second
